SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Trainingsspiele";"Spiel findet nicht statt (keine Neuansetzung)";"";"704402";"Sa";"08.08.2020";"11:00";"FC Länggasse a";"Jun.D/9";"10311";"Sense Mitte (5001) a";"J D/9 3/3";"5001";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Trainingsspiele";"";"";"703285";"Sa";"08.08.2020";"14:00";"FC Langnau";"2.";"10401";"FC Länggasse";"2.";"10311";"Moos Langnau iE, Langnau - Hauptplatz";"Moos Langnau iE";"Langnau";"Hauptplatz";
"Trainingsspiele";"";"";"704237";"Sa";"08.08.2020";"15:00";"SCI Esperia 1927";"Jun.C 2/S";"10362";"FC Länggasse b";"Jun.C 2/S";"10311";"Murifeld, Bern - Fussballfeld Murifeld";"Murifeld";"Bern";"Fussballfeld Murifeld";
"Trainingsspiele";"";"";"705060";"Sa";"08.08.2020";"18:00";"FC Wabern";"4.";"10382";"FC Länggasse";"4.";"10311";"Lerbermatt, Köniz/Wabern - Hauptplatz";"Lerbermatt";"Köniz/Wabern";"Hauptplatz";
"Trainingsspiele";"";"";"705062";"Sa";"08.08.2020";"19:00";"FC Länggasse";"4.";"10311";"SC Thörishaus";"4.";"10381";"Lerbermatt, Köniz/Wabern - Hauptplatz";"Lerbermatt";"Köniz/Wabern";"Hauptplatz";
"Trainingsspiele";"";"";"703166";"Sa";"08.08.2020";"19:00";"FC Breitenrain";"3.";"10330";"FC Länggasse";"3.";"10311";"Spitalacker, Bern - Kunstrasenfeld Spitalacker";"Spitalacker";"Bern";"Kunstrasenfeld Spitalacker";
"Trainingsspiele";"";"";"703918";"So";"09.08.2020";"10:30";"FC Bethlehem BE";"Jun.C 2/S";"10393";"FC Länggasse b";"Jun.C 2/S";"10311";"Brünnen, Bern - Fussballfeld Brünnen 1";"Brünnen";"Bern";"Fussballfeld Brünnen 1";
"Trainingsspiele";"";"";"708604";"So";"09.08.2020";"11:30";"FC Wyler";"Jun.B 1/S";"10308";"FC Länggasse";"Jun.B 2/S";"10311";"Wyler, Bern - Kunstrasenfeld Wyler";"Wyler";"Bern";"Kunstrasenfeld Wyler";
"Trainingsspiele";"";"";"703854";"So";"09.08.2020";"15:00";"FC Länggasse";"3.LF";"10311";"SC Münchenbuchsee";"4.LF";"10314";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Junioren C 2. Stärkeklasse / Herbstrunde / Gruppe  3";"112535";"Mi";"12.08.2020";"18:30";"FC Länggasse b";"Jun.C 2/S";"10311";"FC Schüpfen";"Jun.C 2/S";"10321";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
